Date,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0019.HK,0023.HK,0027.HK,0066.HK,0083.HK,0101.HK,0151.HK,0175.HK,0267.HK,0288.HK,0291.HK,0386.HK,0388.HK,0688.HK,0700.HK,0762.HK,0823.HK,0857.HK,0883.HK,0939.HK,0941.HK,1038.HK,1044.HK,1088.HK,1109.HK,1113.HK,1177.HK,1299.HK,1398.HK,1928.HK,1997.HK,2007.HK,2018.HK,2313.HK,2318.HK,2382.HK,2388.HK,2628.HK,3328.HK,3988.HK,6823.HK
1/2/2018,98.650002,80.050003,11.46905,81.300003,66.099998,194.5,43.140495,131.600006,47.439999,72.699997,33.950001,60.200001,45.799999,13.96,19.02,6.43,27.35,11.36,9,27.799999,5.91,250.199997,26.299999,417.799988,10.88,73.199997,5.58,11.52,7.42,79.25,67,85.050003,21.1,23.75,68.900002,6.133333,67.650002,6.48,39.5,52.400002,15.063909,149.800003,76.800003,85,109.099998,39.900002,25.200001,5.9,3.92,9.93
1/3/2018,98.400002,79.25,11.529019,80.949997,66.599998,194.100006,42.975204,131.100006,47.439999,73.300003,33.599998,60.549999,46.299999,13.94,19.219999,6.32,28.35,11.34,9.2,27.85,5.9,249.199997,26.700001,422.200012,10.88,73.650002,5.5,11.62,7.41,78.199997,67.349998,87.050003,21.450001,23.799999,69,6.177777,68.099998,6.5,39.75,51.75,14.914577,152.5,77.900002,83.800003,109.5,39.700001,25.200001,5.89,3.96,9.96
1/4/2018,99.099998,79.150002,11.588988,80.5,66.550003,193.600006,43.388428,132.5,47.919998,73.5,34.099998,60.25,46.450001,13.74,19.559999,6.25,27.450001,11.38,8.94,28,6.14,254.600006,27.200001,431.799988,10.88,73.5,5.78,12.06,7.57,78.150002,67.25,85.449997,21.049999,23.799999,69.150002,6.284444,68,6.57,39.799999,52.299999,14.485246,150.5,76.650002,83.849998,107,39.549999,24.85,5.93,3.99,9.99
1/5/2018,99.25,79.75,11.618972,80.800003,66.550003,194,44.173553,134.399994,49.599998,75.449997,33.900002,59.299999,46.25,14.42,20.200001,6.4,27.549999,11.4,9.05,30.9,6.23,253.199997,27.950001,433.200012,10.84,74,5.8,12.16,7.61,78.050003,67.550003,83.150002,21.5,24.799999,70,6.133333,67.449997,6.56,39.400002,53.900002,15.138575,150.399994,74.5,82.25,106.900002,39.25,24.6,5.98,4.02,10
1/8/2018,99.349998,79.5,11.618972,80.5,66.75,192.100006,44.049587,134.300003,49.279999,77.699997,33.599998,60.049999,46.200001,14.68,20.25,6.37,27.75,11.58,9.03,30.35,6.23,262,29.4,438.600006,10.92,73.400002,5.76,12,7.58,78,67,84.5,22.700001,25.549999,70.75,6.266666,66.849998,6.55,39.900002,53.799999,16.25857,147.300003,73.550003,82.25,105,39.549999,24.35,5.99,3.99,10.08
1/9/2018,99.25,79.199997,11.648957,80.949997,67,191.800003,44.214874,134.399994,50,78,33.950001,61.049999,46.349998,14.66,20.299999,6.5,27,11.52,8.87,29.6,6.31,269,29.25,443.799988,11.04,74.25,5.78,12.02,7.59,77.900002,67.349998,82,22.6,26.1,71.650002,6.622222,66.300003,6.5,41.849998,53,16.165236,145.5,76.199997,84.300003,102.300003,39.799999,24.5,5.95,3.99,10.12
1/10/2018,98.949997,79.449997,11.559003,82.099998,66.550003,192.100006,43.429752,133.100006,49.68,77.800003,34,60.5,46.25,14.56,20,6.45,26.700001,11.58,9.16,30.200001,6.39,271.799988,29.049999,440.399994,11.04,72.050003,5.82,12.22,7.65,77.400002,66.599998,81.050003,22.299999,26.799999,72.25,6.488888,66.599998,6.54,41.450001,52.799999,17.247896,142.399994,77.800003,83.150002,103,39.799999,24.4,6.03,4.02,10
1/11/2018,99.150002,79,11.529019,84.050003,66.150002,190.5,43.471073,132.5,49.52,77.050003,33.900002,60.150002,45.950001,14.5,20.5,6.55,26.299999,11.68,9.12,30.700001,6.39,268.399994,29.200001,429.399994,10.88,71.25,5.88,12.2,7.67,78.050003,66.050003,81.150002,22.1,26.65,72.550003,6.471111,66.699997,6.53,41.400002,54.200001,17.191896,148.699997,76.800003,83.550003,112.300003,40.799999,24.5,6.07,4.06,10
1/12/2018,101.199997,78.800003,11.484042,83.699997,66.099998,189.199997,43.388428,133,49.52,76.599998,33.950001,60.150002,45.700001,14.4,20.5,6.55,27,11.62,8.95,31.9,6.51,274.799988,29.549999,442.200012,10.74,70.449997,5.93,12.5,7.78,77.75,66.199997,81.349998,22.700001,26.6,73.150002,6.835555,67.25,6.64,41.700001,52.5,17.079897,147.699997,78,86.400002,111.300003,40.700001,24.9,6.15,4.11,10
1/15/2018,100.5,78.800003,11.499034,84.099998,66.300003,190.600006,43.099174,133,49.200001,76.900002,33.900002,62.200001,45.299999,14.32,20.25,6.38,26.15,11.54,8.9,31.700001,6.47,272.399994,28.5,433.200012,10.82,70.599998,5.91,12.32,7.84,78.5,66.099998,79.349998,21.85,25.75,73.150002,6.604444,67.300003,6.65,44,53.349998,16.109236,144.699997,78.150002,88.199997,107.599998,41,25,6.13,4.1,9.94
1/16/2018,100.5,78.699997,11.544011,84.800003,66.300003,189.399994,43.429752,133.800003,49.759998,77.5,33.950001,63.150002,45.200001,14.44,20.35,6.7,26.299999,11.64,8.96,32,6.52,288.399994,29.200001,444.200012,10.94,70.5,5.9,12.54,8.13,79.349998,66.199997,80.599998,22.200001,26.5,73.099998,6.595555,68.300003,6.87,45.150002,54.200001,16.594566,139.699997,77.900002,90.650002,110.800003,41.349998,25.5,6.28,4.24,9.92
1/17/2018,100.5,78.599998,11.588988,85.050003,66,190.800003,43.388428,133.199997,50,77.5,34.150002,63.650002,45.200001,14.72,20.6,6.83,25.75,11.68,8.88,31,6.44,295.600006,28.549999,449,11.06,70.75,5.82,12.36,8.19,79.150002,66.050003,80.699997,22,26.35,72.400002,6.577777,68,6.94,45.700001,54,15.679905,140.300003,77.599998,90.099998,111,41.400002,26.200001,6.37,4.31,9.98
1/18/2018,100.900002,78.599998,11.544011,85.449997,66.599998,191,43.264462,132.199997,49.759998,77.099998,34.099998,63.5,45.25,14.6,20.5,6.65,24.65,11.94,8.76,31.4,6.47,297.600006,28.200001,447.799988,11.38,70.599998,5.83,12.26,8.42,81.449997,66.050003,79.900002,22.049999,26.35,72,6.257777,66.5,7.16,46,52.950001,15.418574,134.600006,80.050003,92.5,107.300003,41.25,26.200001,6.5,4.41,9.91
1/19/2018,100.699997,78.349998,11.544011,85.400002,66.849998,189.5,43.305786,133.100006,49.360001,78,34.299999,63.900002,45.049999,14.58,20.6,6.92,25,11.84,8.99,30.950001,6.53,294.799988,29.799999,452.399994,11.4,70.800003,5.8,12.14,8.48,80.5,66.300003,77.25,22.5,28.299999,73.550003,6.604444,66.650002,7.19,46,52.900002,15.903904,135.899994,80.400002,93.300003,111.800003,41.200001,25.75,6.51,4.43,9.81
1/22/2018,102.599998,78.199997,11.514027,85,66.550003,188.899994,43.099174,133,49.279999,78.25,34.099998,65.949997,44.900002,14.48,20.450001,7.24,24.700001,11.84,8.99,30.700001,6.51,301,30.4,460,11.26,70.5,5.87,12.34,8.4,81.349998,66.349998,76.199997,22.65,30.1,74.099998,6.897777,66.199997,7.09,47.900002,52.5,15.997237,137.199997,80.400002,96.150002,113.599998,41.299999,25.9,6.46,4.4,9.87
1/23/2018,102.599998,78.400002,11.529019,85.699997,66.5,188,43.719009,134.199997,50.16,79.25,34.299999,67.050003,44.900002,14.7,20.75,7.2,26.15,12.1,9.06,31.299999,6.55,303.399994,31,474.600006,11.24,71.599998,5.9,12.44,8.77,81.599998,66.550003,76.900002,23.15,31.25,75,6.924444,67.050003,7.33,48.549999,52.400002,15.885238,137,82.199997,96.400002,113.5,41.549999,26.450001,6.72,4.56,9.77
1/24/2018,104.599998,78.199997,11.514027,85.849998,66.5,186.899994,43.223141,134,49.919998,79.650002,34.200001,66.349998,44.799999,14.7,21.049999,7.11,25.85,12.62,9.14,31.549999,6.85,301.399994,30.549999,469,11.34,71,6.21,12.82,8.73,82.800003,67.050003,76.349998,23.549999,31.049999,74.599998,6.871111,66.900002,7.28,48.150002,52.349998,15.661239,135,80,94,116.099998,41.900002,26.950001,6.78,4.7,9.73
1/25/2018,106.400002,79.099998,11.573995,85.5,66.949997,186.5,43.76033,136.199997,50.799999,79.150002,34.299999,65.699997,45,14.7,21.1,7.14,25.4,12.72,9.24,30.5,6.98,293,30.35,458,11.72,70.449997,6.35,12.9,8.57,82.550003,69.650002,76.25,23.5,31.299999,74,6.791111,66.349998,7.06,47.349998,53.799999,15.362574,133.300003,79.050003,91.699997,112.5,41.650002,26.299999,6.71,4.59,9.75
1/26/2018,106.699997,79,11.60398,85.699997,67.449997,186,45.619835,138.300003,51.599998,79.699997,34.25,66.300003,45.150002,14.72,21.65,7.15,25.1,12.66,9.28,30.200001,6.95,297.399994,30.950001,471.200012,11.66,70.5,6.38,12.74,9.05,82.300003,69.599998,77.449997,23.799999,31.4,74.400002,6.764444,66.599998,7.34,47.150002,53.599998,15.773238,136,80.75,93.400002,112.400002,41.75,26.549999,6.97,4.8,9.69
